Country,Year_2016,Year_2019,Year_2021,Year_2023,Year_2025
31-country average,61,58,56,57,56
Germany,61,63,61,67,77
South Africa,74,78,74,76,72
Hungary,73,72,72,73,71
Brazil,62,72,72,62,69
TÃ¼rkiye,53,46,60,61,68
Sweden,51,49,73,73,67
Thailand,,,,61,66
United States,66,60,68,65,66
Great Britain,62,56,70,64,65
France,52,46,63,63,65
Netherlands,,,67,67,63
Argentina,67,72,67,67,63
Peru,55,55,67,67,61
Colombia,,,,,60
New Zealand,,,,,58
Chile,,,57,69,57
Ireland,,,,,57
Belgium,43,57,54,50,56
Spain,78,69,56,56,55
India,49,58,53,49,54
Japan,31,32,44,44,53
South Korea,72,43,33,42,52
Indonesia,72,43,33,42,52
Canada,37,52,54,53,48
Mexico,76,61,51,51,47
Australia,47,47,50,50,47
Italy,35,40,40,40,44
Malaysia,54,54,47,54,41
Poland,79,84,41,41,40
Switzerland,,,,,32
Singapore,,,,,22
